what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436196825518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436197015318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436197046438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436198893024
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436198893956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436198895601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436198921934
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436198921963
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436198931900
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436198934979
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436198940661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436198955360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199557778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199557944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199561754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199570709
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436199581634
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436199587258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199593773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199848727
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436199849735
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1436199855740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199858945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199860957
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436199868582
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436199871610
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436199877260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199881430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199978426
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436199978479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1436199984056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436199990753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200119492
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1436200121098
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436200125467
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436200139456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200150214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200154325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200163440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200176509
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436200176581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200178707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200305328
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436200307220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200311254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200417465
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436200417503
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436200424461
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436200427367
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436200432859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200480416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200535686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200552094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200897807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200900192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200907933
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436200917625
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436200923215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200925304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200953913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436200959060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436201035493
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1436201036500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1436201037978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1436201038663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1436201045422
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1436201052730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436201059305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436201104999
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436201115176
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436201118226
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436201123807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436201140206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436201143771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436201143890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436201448108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436201450267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436201458562
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1436201469091
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1436201474745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436201479730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436202372087
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1436202372105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1436202372824
